Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.33179066716095534
5,0.01,0.31,0.3296810290031216
5,0.01,0.61,0.3656202401466878
5,0.01,0.9099999999999999,0.3847262811018505
5,0.01,symmetric,0.3099800110119915
5,0.31,0.01,0.319388338570714
5,0.31,0.31,0.3503470786214854
5,0.31,0.61,0.38132306386692405
5,0.31,0.9099999999999999,0.3958899584212815
5,0.31,symmetric,0.34472583053015926
5,0.61,0.01,0.35294303889146633
5,0.61,0.31,0.3401916265735919
5,0.61,0.61,0.3872158097850106
5,0.61,0.9099999999999999,0.37339397321325707
5,0.61,symmetric,0.36504962888588277
5,0.9099999999999999,0.01,0.35672457363111326
5,0.9099999999999999,0.31,0.3733096009778697
5,0.9099999999999999,0.61,0.38959151565676714
5,0.9099999999999999,0.9099999999999999,0.40114741990913005
5,0.9099999999999999,symmetric,0.39745631327703956
5,symmetric,0.01,0.33377815786330267
5,symmetric,0.31,0.324067808882041
5,symmetric,0.61,0.3547224009144975
5,symmetric,0.9099999999999999,0.3627402456946752
5,symmetric,symmetric,0.3002560036356945
5,asymmetric,0.01,0.34226471930922087
5,asymmetric,0.31,0.400225251458875
5,asymmetric,0.61,0.3813977027180736
5,asymmetric,0.9099999999999999,0.36403054366888
5,asymmetric,symmetric,0.38014991080581206
6,0.01,0.01,0.32241008367668716
6,0.01,0.31,0.3551741000433606
6,0.01,0.61,0.3709112072622743
6,0.01,0.9099999999999999,0.3570604170668798
6,0.01,symmetric,0.33845773887694625
6,0.31,0.01,0.3680935210740964
6,0.31,0.31,0.38178017535806513
6,0.31,0.61,0.3903795368635941
6,0.31,0.9099999999999999,0.3654437189031345
6,0.31,symmetric,0.35534927724806264
6,0.61,0.01,0.3543976621367489
6,0.61,0.31,0.37601127161510345
6,0.61,0.61,0.39036056827241766
6,0.61,0.9099999999999999,0.37648675236127477
6,0.61,symmetric,0.3443116063281569
6,0.9099999999999999,0.01,0.34877007603571314
6,0.9099999999999999,0.31,0.3808023408605672
6,0.9099999999999999,0.61,0.37442818712843046
6,0.9099999999999999,0.9099999999999999,0.3816022683638627
6,0.9099999999999999,symmetric,0.38866109706851876
6,symmetric,0.01,0.32290878876129797
6,symmetric,0.31,0.3658837545900193
6,symmetric,0.61,0.3694952518620452
6,symmetric,0.9099999999999999,0.35955516866177867
6,symmetric,symmetric,0.3355165106209561
6,asymmetric,0.01,0.32477433669784034
6,asymmetric,0.31,0.4179805049548755
6,asymmetric,0.61,0.4134089241273458
6,asymmetric,0.9099999999999999,0.3820324073123749
6,asymmetric,symmetric,0.37029332406676857
7,0.01,0.01,0.35923625311086493
7,0.01,0.31,0.3800438079655846
7,0.01,0.61,0.4107973942467842
7,0.01,0.9099999999999999,0.3914242959328786
7,0.01,symmetric,0.3881794607169389
7,0.31,0.01,0.32595082595727337
7,0.31,0.31,0.3677280646770839
7,0.31,0.61,0.3791324126454709
7,0.31,0.9099999999999999,0.37943829057451955
7,0.31,symmetric,0.38488410050921795
7,0.61,0.01,0.32167949134948276
7,0.61,0.31,0.3583006410659722
7,0.61,0.61,0.3840411788054601
7,0.61,0.9099999999999999,0.36151474445078197
7,0.61,symmetric,0.3669736535056757
7,0.9099999999999999,0.01,0.32727476559732166
7,0.9099999999999999,0.31,0.34604505327300183
7,0.9099999999999999,0.61,0.3754045445407454
7,0.9099999999999999,0.9099999999999999,0.40060992655120975
7,0.9099999999999999,symmetric,0.3542627773580193
7,symmetric,0.01,0.3462001100488933
7,symmetric,0.31,0.36227018584579757
7,symmetric,0.61,0.3869389934993927
7,symmetric,0.9099999999999999,0.37904824910508816
7,symmetric,symmetric,0.3610682279348175
7,asymmetric,0.01,0.3454052414733043
7,asymmetric,0.31,0.4440880625161817
7,asymmetric,0.61,0.37040715986014316
7,asymmetric,0.9099999999999999,0.38562305659626483
7,asymmetric,symmetric,0.38517668590470705
8,0.01,0.01,0.311066662675989
8,0.01,0.31,0.3404307002745328
8,0.01,0.61,0.37244654151630874
8,0.01,0.9099999999999999,0.39528077295031566
8,0.01,symmetric,0.35800165376056325
8,0.31,0.01,0.32439150292390984
8,0.31,0.31,0.32894623319136496
8,0.31,0.61,0.36425558367973165
8,0.31,0.9099999999999999,0.38508246255817286
8,0.31,symmetric,0.3092359505842952
8,0.61,0.01,0.3428785222876979
8,0.61,0.31,0.3685831915315664
8,0.61,0.61,0.3481707042019529
8,0.61,0.9099999999999999,0.37887818144747243
8,0.61,symmetric,0.3643458528040473
8,0.9099999999999999,0.01,0.3388584455025854
8,0.9099999999999999,0.31,0.4064559902543453
8,0.9099999999999999,0.61,0.39690080095489144
8,0.9099999999999999,0.9099999999999999,0.3926775649943063
8,0.9099999999999999,symmetric,0.3711737200300198
8,symmetric,0.01,0.34334026232636
8,symmetric,0.31,0.37356525925650835
8,symmetric,0.61,0.35061153666892286
8,symmetric,0.9099999999999999,0.3653190847735758
8,symmetric,symmetric,0.3575406049578012
8,asymmetric,0.01,0.32728876071487323
8,asymmetric,0.31,0.43692523311159526
8,asymmetric,0.61,0.4005586990689839
8,asymmetric,0.9099999999999999,0.38983051252974354
8,asymmetric,symmetric,0.4244649340105203
9,0.01,0.01,0.32567330643202336
9,0.01,0.31,0.4075961694878164
9,0.01,0.61,0.40523559668544384
9,0.01,0.9099999999999999,0.4041123204541903
9,0.01,symmetric,0.41843662647983765
9,0.31,0.01,0.3193008670458774
9,0.31,0.31,0.4065552413578514
9,0.31,0.61,0.4307320831633797
9,0.31,0.9099999999999999,0.4172275500873926
9,0.31,symmetric,0.36020328508043287
9,0.61,0.01,0.31730312782941716
9,0.61,0.31,0.35683453951396404
9,0.61,0.61,0.4106097877465491
9,0.61,0.9099999999999999,0.3943354293918689
9,0.61,symmetric,0.351948894298546
9,0.9099999999999999,0.01,0.3428243474895138
9,0.9099999999999999,0.31,0.3809579170851636
9,0.9099999999999999,0.61,0.39114536225835284
9,0.9099999999999999,0.9099999999999999,0.39385907128158987
9,0.9099999999999999,symmetric,0.38160739738839156
9,symmetric,0.01,0.30835144111627827
9,symmetric,0.31,0.4230730749499399
9,symmetric,0.61,0.44194305677079726
9,symmetric,0.9099999999999999,0.3816738468157553
9,symmetric,symmetric,0.4122424346336639
9,asymmetric,0.01,0.3881160825645336
9,asymmetric,0.31,0.4756027968017529
9,asymmetric,0.61,0.4457245633044442
9,asymmetric,0.9099999999999999,0.38931458079086145
9,asymmetric,symmetric,0.4677997099138865
10,0.01,0.01,0.34442622481528096
10,0.01,0.31,0.4303962560380187
10,0.01,0.61,0.40189915163240697
10,0.01,0.9099999999999999,0.3704484013103525
10,0.01,symmetric,0.3813088259666029
10,0.31,0.01,0.3091343920334441
10,0.31,0.31,0.371472044126388
10,0.31,0.61,0.4041665629391365
10,0.31,0.9099999999999999,0.3965856500420465
10,0.31,symmetric,0.3344869069283959
10,0.61,0.01,0.33560470774141693
10,0.61,0.31,0.36542691943038386
10,0.61,0.61,0.43193541305370503
10,0.61,0.9099999999999999,0.3728657646067735
10,0.61,symmetric,0.33762800051176545
10,0.9099999999999999,0.01,0.34639964526125067
10,0.9099999999999999,0.31,0.37132177325684423
10,0.9099999999999999,0.61,0.37740380920997535
10,0.9099999999999999,0.9099999999999999,0.31975607048583116
10,0.9099999999999999,symmetric,0.3573157112423188
10,symmetric,0.01,0.34424754017695597
10,symmetric,0.31,0.3989342846269247
10,symmetric,0.61,0.39314683879829393
10,symmetric,0.9099999999999999,0.37136278437452286
10,symmetric,symmetric,0.36527837623581727
10,asymmetric,0.01,0.36876696011966803
10,asymmetric,0.31,0.47736151202987126
10,asymmetric,0.61,0.42414407705869656
10,asymmetric,0.9099999999999999,0.35962782369201585
10,asymmetric,symmetric,0.4565030007180496
