Topics,Alpha,Beta,Coherence
4,0.01,0.01,0.34699342694307805
4,0.01,0.11,0.3121089757063988
4,0.01,0.21000000000000002,0.29918217995018737
4,0.01,0.31000000000000005,0.3101723288841409
4,0.01,0.41000000000000003,0.3074592820754052
4,0.01,0.51,0.3064937328918512
4,0.01,0.6100000000000001,0.3488882055390291
4,0.01,0.7100000000000001,0.32223197229927625
4,0.01,0.81,0.31368795421707873
4,0.01,0.91,0.3489324350741059
4,0.01,symmetric,0.3063011821947342
4,0.11,0.01,0.3329531083387983
4,0.11,0.11,0.325844483665075
4,0.11,0.21000000000000002,0.3108969387396713
4,0.11,0.31000000000000005,0.3231483621672001
4,0.11,0.41000000000000003,0.3375894242088783
4,0.11,0.51,0.314948556705285
4,0.11,0.6100000000000001,0.33367976315312364
4,0.11,0.7100000000000001,0.33807127028793715
4,0.11,0.81,0.3523018499978213
4,0.11,0.91,0.3380783673209695
4,0.11,symmetric,0.32060771261648674
4,0.21000000000000002,0.01,0.34112259459199457
4,0.21000000000000002,0.11,0.3344032525548819
4,0.21000000000000002,0.21000000000000002,0.3163206567072598
4,0.21000000000000002,0.31000000000000005,0.33106698054810346
4,0.21000000000000002,0.41000000000000003,0.3277091726535989
4,0.21000000000000002,0.51,0.32369723036449466
4,0.21000000000000002,0.6100000000000001,0.32208478255734163
4,0.21000000000000002,0.7100000000000001,0.329069546573094
4,0.21000000000000002,0.81,0.3206205261498203
4,0.21000000000000002,0.91,0.33971523912230317
4,0.21000000000000002,symmetric,0.3254022071676308
4,0.31000000000000005,0.01,0.32362518820738784
4,0.31000000000000005,0.11,0.3182031818807955
4,0.31000000000000005,0.21000000000000002,0.29750884102739417
4,0.31000000000000005,0.31000000000000005,0.31368323065863196
4,0.31000000000000005,0.41000000000000003,0.2992775610766024
4,0.31000000000000005,0.51,0.3376852128373541
4,0.31000000000000005,0.6100000000000001,0.31285790545290704
4,0.31000000000000005,0.7100000000000001,0.31596843286900955
4,0.31000000000000005,0.81,0.3171633454076068
4,0.31000000000000005,0.91,0.3299409368408415
4,0.31000000000000005,symmetric,0.29433043630126676
4,0.41000000000000003,0.01,0.3232058299651385
4,0.41000000000000003,0.11,0.31622186031696753
4,0.41000000000000003,0.21000000000000002,0.3019878100957246
4,0.41000000000000003,0.31000000000000005,0.3087490497137938
4,0.41000000000000003,0.41000000000000003,0.3039652594073357
4,0.41000000000000003,0.51,0.3235236408559941
4,0.41000000000000003,0.6100000000000001,0.30968473390733353
4,0.41000000000000003,0.7100000000000001,0.32352512137198797
4,0.41000000000000003,0.81,0.33046263986112945
4,0.41000000000000003,0.91,0.34118108138136094
4,0.41000000000000003,symmetric,0.2942410935879175
4,0.51,0.01,0.34235175018106195
4,0.51,0.11,0.3265785320514664
4,0.51,0.21000000000000002,0.29528134949164947
4,0.51,0.31000000000000005,0.33951130798677226
4,0.51,0.41000000000000003,0.30571771573703316
4,0.51,0.51,0.32461904558031385
4,0.51,0.6100000000000001,0.3090616444201895
4,0.51,0.7100000000000001,0.3063339918689385
4,0.51,0.81,0.3312988127116729
4,0.51,0.91,0.32555851592306434
4,0.51,symmetric,0.3046112374014541
4,0.6100000000000001,0.01,0.36292134117513625
4,0.6100000000000001,0.11,0.3406191438479983
4,0.6100000000000001,0.21000000000000002,0.30549053945689214
4,0.6100000000000001,0.31000000000000005,0.3065265381455775
4,0.6100000000000001,0.41000000000000003,0.32435670141618567
4,0.6100000000000001,0.51,0.3172314376721632
4,0.6100000000000001,0.6100000000000001,0.31706811483322145
4,0.6100000000000001,0.7100000000000001,0.3019152647714597
4,0.6100000000000001,0.81,0.30362647299594847
4,0.6100000000000001,0.91,0.31143278450794604
4,0.6100000000000001,symmetric,0.31446463988576423
4,0.7100000000000001,0.01,0.3658503443564455
4,0.7100000000000001,0.11,0.36407127501576736
4,0.7100000000000001,0.21000000000000002,0.3296773043063742
4,0.7100000000000001,0.31000000000000005,0.3123883179004348
4,0.7100000000000001,0.41000000000000003,0.3310334877939804
4,0.7100000000000001,0.51,0.32268702213272915
4,0.7100000000000001,0.6100000000000001,0.30177133001635414
4,0.7100000000000001,0.7100000000000001,0.33556595685437457
4,0.7100000000000001,0.81,0.29623697451863906
4,0.7100000000000001,0.91,0.3352484616049388
4,0.7100000000000001,symmetric,0.32595267393240795
4,0.81,0.01,0.36351823287521656
4,0.81,0.11,0.3647617151525392
4,0.81,0.21000000000000002,0.3298492730322383
4,0.81,0.31000000000000005,0.3291638796803055
4,0.81,0.41000000000000003,0.3266158589497063
4,0.81,0.51,0.31810577801104706
4,0.81,0.6100000000000001,0.3296774604213011
4,0.81,0.7100000000000001,0.32134804460657085
4,0.81,0.81,0.32753301118258044
4,0.81,0.91,0.29846113624265064
4,0.81,symmetric,0.3244226840366655
4,0.91,0.01,0.3674589118601924
4,0.91,0.11,0.3768866970527578
4,0.91,0.21000000000000002,0.3604829604592453
4,0.91,0.31000000000000005,0.32011310724299596
4,0.91,0.41000000000000003,0.3282749294527536
4,0.91,0.51,0.320192367309652
4,0.91,0.6100000000000001,0.3152153292844209
4,0.91,0.7100000000000001,0.3321861144465186
4,0.91,0.81,0.3189244690778719
4,0.91,0.91,0.29652735320462464
4,0.91,symmetric,0.343294258398927
4,symmetric,0.01,0.32880578359862284
